date,Symbol,monthly_avg,monthly_base,compounded_total,index,Name,Exchange,Sector,Industry,DateAdded,Founded,City,State,Country,2021Price,2021Marketcap,2021Ebitda,2021Revenuegrowth,2021Fulltimeemployees
2014-12,SPGI,-0.0021640976074115315,0.9370737609458986,3.221796347868358,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2015-01,SPGI,0.00043308265605295214,1.013074399293882,3.2639193997639597,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2015-02,SPGI,0.007597900501526907,1.2549245546315801,4.095972599102161,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2015-03,SPGI,0.00021186050795148702,1.0063753788222585,4.122085976067028,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2015-04,SPGI,0.00044078071638863927,1.0133082853431592,4.176943872445563,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2015-05,SPGI,-0.00021738657144786399,0.9934989179700632,4.149789217696353,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2015-06,SPGI,-0.0014227387539685887,0.9581867772196436,3.9762731566452945,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2015-07,SPGI,0.0007180567365460082,1.0217675009416889,4.062826686326983,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2015-08,SPGI,-0.0021059810229247127,0.9387124735839448,3.813826088464864,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2015-09,SPGI,-0.005256865105884232,0.8537456774682807,3.2560375376426385,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2015-10,SPGI,0.0031849202218866557,1.1000941567690117,3.5819478693812274,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2015-11,SPGI,0.002146254228618044,1.0664321413264093,3.8199043364637917,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2015-12,SPGI,0.0010953682474043552,1.0333883497300633,3.94744463838503,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2016-01,SPGI,-0.007517132970707073,0.7974262937186689,3.1477961476470058,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2016-02,SPGI,0.0030232229417761656,1.0947870459743156,3.446166445811796,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2016-03,SPGI,0.004546163067644791,1.145768756119295,3.9485098419978337,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2016-04,SPGI,0.00372755553085963,1.118086522715099,4.414775639145702,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2016-05,SPGI,0.002219352389362201,1.0687682294712422,4.7183719433625235,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2016-06,SPGI,-0.001657313419041361,0.951457129972719,4.4893286273755075,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2016-07,SPGI,0.006591634973559801,1.2178660092253064,5.467400739522732,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2016-08,SPGI,0.0004895232159139861,1.0147904146629445,5.548265863588763,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
